followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
62296,62846,31370,150913,1,0,0,1
82179,85930,18290,127868,0,0,0,0
111034,80255,468466,535703,0,0,0,1
47883,50896,123384,147417,1,0,0,0
2970,2425,144502,132234,1,1,0,1
7266,7986,38599,170342,1,1,0,1
4067,5001,93238,57491,1,1,0,1
2125,2681,54372,82036,1,0,0,0
12920,9934,108206,129604,1,0,0,0
27103,26561,14314,124478,1,0,0,0
4301,4986,49912,78339,1,0,0,0
347446,300097,34977,55131,1,0,0,0
2036,2137,29526,25945,1,0,0,0
3834,2642,27024,18883,1,0,0,0
2139,4332,104188,101801,1,0,0,1
17755,18393,326773,93221,1,0,0,0
12445,13769,41664,75464,1,0,0,0
5960,5939,81637,98111,1,0,0,1
10626,11505,39463,30570,1,0,0,0
5826,5863,86608,86960,1,0,0,0
43303,44648,116673,123097,1,0,0,1
9035,9720,95478,26980,1,0,0,0
2062,2548,124612,45685,1,0,0,0
3617,4836,52840,47858,1,0,0,1
21071,21174,28090,212692,1,0,0,1
49129,52532,145706,346229,0,0,0,0
136925,110693,214270,701446,0,0,0,0
125967,60163,156225,283600,1,0,0,1
3868,4989,6911,16062,1,0,0,0
2729,3010,14850,5654,1,0,0,0
54316,55077,75177,273171,0,0,0,1
59241,60249,108115,260096,1,0,0,1
58019,57009,73925,264747,1,0,0,1
1390,1793,49698,45816,1,1,0,0
4632,4683,20868,25582,1,0,0,0
2560,2810,33222,22339,1,1,0,0
3772,4930,9119,139098,1,0,0,0
4888,5174,107987,72393,1,0,0,0
4443,2862,377333,382264,0,0,0,0
1357,1972,19529,17072,1,0,0,0
134776,130748,24294,108788,1,0,0,1
66812,61588,235453,273312,0,0,0,1
21539,20384,128274,525305,0,0,0,0
32508,15997,23982,111122,1,0,0,1
88,0,0,0,1,0,0,1
44486,41302,165450,323749,0,0,0,0
42405,39144,9011,176121,1,0,0,1
70244,62690,0,247167,0,0,0,0
120339,68475,662327,463177,0,0,0,0
25454,26847,167640,160065,1,0,0,1
8360,8627,4411,27885,1,0,0,0
60850,61252,163694,192312,1,0,0,0
2729,4979,17438,19002,1,1,0,0
39413,40655,214917,247169,1,0,0,0
2765,3161,51623,82975,1,0,0,1
39285,39365,156232,173325,1,0,0,0
